model,ratio,n_samples,acc_mean,acc_std,f1_macro_mean,f1_macro_std,f1_normal_mean,f1_normal_std,f1_attack_mean,f1_attack_std
HTL-UAV-IDS,0.01,1195,0.7625121290193061,0.02782241671498321,0.5656834973290507,0.013126408183913632,0.2741739738637693,0.03843752410451834,0.8571930207943321,0.020967785284310272
HTL-UAV-IDS,0.05,5977,0.7851105831967076,0.0647771364423008,0.5844754252360443,0.016845683299783434,0.2989706002437507,0.030548065126839413,0.8699802502283379,0.04739440067949824
HTL-UAV-IDS,0.1,11954,0.7826078227992103,0.04456738198095257,0.5887559256507302,0.01368940358566726,0.30776532290818437,0.005900490036542251,0.8697465283932762,0.03215519052253839
HTL-UAV-IDS,0.2,23909,0.8024626091611736,0.03501261990226331,0.5932252610969357,0.012639996636314448,0.30256554496966953,0.03322427514163819,0.8838849772242019,0.025604592994583533
HTL-UAV-IDS,0.5,59773,0.8075685080469771,0.0867702738812441,0.5924372464556054,0.020328233510932874,0.3015153247172181,0.025747822056126423,0.8833591681939927,0.06129361428459527
HTL-UAV-IDS,1.0,119547,0.7960384113494161,0.053792536344964906,0.5908456294015549,0.015695895372312425,0.3031923852274122,0.018340304560674862,0.8784988735756976,0.039263610280202935
MLP,0.01,1195,0.722789172549938,0.06356822964232534,0.5338800146160684,0.01424831474881116,0.24048748969986394,0.023292201377975358,0.8272725395322729,0.0497582060751647
MLP,0.05,5977,0.6240305149396059,0.0006991646073066733,0.5191650695423399,0.0012701758423731965,0.2946147581303326,0.002195551101836838,0.7437153809543474,0.0003759236873824496
MLP,0.1,11954,0.6262187573192357,0.0023870764520093892,0.5235876663306863,0.0017577282599408933,0.3024688729779942,0.001509506724314478,0.7447064596833786,0.0020256651158955135
MLP,0.2,23909,0.6352728611101817,0.009652515507246948,0.5336171097233728,0.006038973241141022,0.31594114338058077,0.003682250979870692,0.7512930760661649,0.008440253887207446
MLP,0.5,59773,0.653100010037809,0.004248438050339752,0.5505264717377748,0.0020312239082757597,0.3358278350195206,0.0014894940317894485,0.765225108456029,0.0038900967511866914
MLP,1.0,119547,0.6553886305082477,0.004218884774754252,0.552379861745963,0.0024885442182947023,0.337663724366505,0.0012963250886547399,0.7670959991254209,0.003697273947240566
MobileNet1D,0.01,1195,0.7187807407903101,0.09688184794938114,0.5349818673562103,0.024662671691884422,0.2507787192804469,0.033401398635493955,0.8191850154319734,0.07834579888821346
MobileNet1D,0.05,5977,0.63894000736106,0.006370226999844748,0.532377057271229,0.00646545501862644,0.30917741087042805,0.009879287255023501,0.7555767036720298,0.005181912310280953
MobileNet1D,0.1,11954,0.7225014220229532,0.09609830868900908,0.5680703629156858,0.025159846092054357,0.3168898586111835,0.017881699767536497,0.8192508672201881,0.06787715798917783
MobileNet1D,0.2,23909,0.7761568574965703,0.1005717586092322,0.5949008038198155,0.0362331295129891,0.331090806171013,0.01450390910062484,0.858710801468618,0.07489453538386862
MobileNet1D,0.5,59773,0.7175762037006057,0.06187706394393377,0.5801328184523549,0.027632686044735132,0.3428077609896478,0.007511398227498841,0.8174578759150618,0.04854618891220333
MobileNet1D,1.0,119547,0.701589319771138,0.08707480521117887,0.5688266289141912,0.030130985933117735,0.3357614235716609,0.005241603231667486,0.8018918342567216,0.06489070701474976
